period,region,amount,segment,signal
2026-01,W,82.88, a ,39.1
2026-02,E,14.69,A,1.72
2026-03,W,,B,36.65
2026-04,E,24.17,B,10.92
2026-05,W,14.06, a ,13.4
invalid-date,E,68.35,A,36.27
2026-07,W,56.61,B,36.29
2026-01,E,10.4,B,10.55
2026-02,W,51.2, a ,30.13
2026-03,E,165,A,21.48
2026-04,W,91.48,B,50.82
2026-05,E,57.7,B,31.87
2026-06,W,18.79, a ,15.39
2026-07,E,59.15,A,26.32
2026-01,W,24.17,B,14.46
2026-02,E,71.89,B,40.51
2026-03,W,50.47, a ,23.32
2026-04,E,71.29,A,42.14
2026-05,W,65.82,B,36.63
2026-06,E,42.08,B,21.5
2026-01,W,82.88, a ,39.1
2026-02,E,14.69, a ,1.72
