月份,区域,收入,渠道,指标
2026-01,W,76.62, a ,39.63
2026-02,E,54.07,A,34.03
2026-03,W,,B,21.53
2026-04,E,53.84,B,24.83
2026-05,W,79.81, a ,39.51
invalid-date,E,39.37,A,22.4
2026-07,W,13.5,B,4.36
2026-01,E,78.36,B,44.39
2026-02,W,84.33, a ,48.44
2026-03,E,172,A,12.83
2026-04,W,24.83,B,11.39
2026-05,E,12.04,B,5.56
2026-06,W,54.23, a ,25.57
2026-07,E,27.26,A,14.48
2026-01,W,15.72,B,11.76
2026-02,E,84.9,B,42.99
2026-03,W,26.16, a ,18.46
2026-04,E,68.8,A,32.84
2026-05,W,63.25,B,32.09
2026-06,E,59.64,B,37.56
2026-07,W,42.18, a ,26.25
2026-01,E,56.61,A,35.88
2026-01,W,76.62, a ,39.63
2026-02,E,54.07, a ,34.03
