日期,地区,销售额,客群,观测值
2026-01,W,54.97, a ,25.67
2026-02,E,45.11,A,24.39
2026-03,W,,B,29.16
2026-04,E,49.91,B,24.88
2026-05,W,90.71, a ,49.69
invalid-date,E,13.47,A,8.47
2026-07,W,49.54,B,24.42
2026-01,E,93.27,B,57.29
2026-02,W,31.75, a ,10.75
2026-03,E,174,A,32.78
2026-04,W,20.72,B,17.15
2026-05,E,13.58,B,5.07
2026-06,W,50.7, a ,24.93
2026-07,E,78.99,A,38.96
2026-01,W,15.48,B,11.6
2026-02,E,78.69,B,44.93
2026-03,W,71.53, a ,36.09
2026-04,E,13.03,A,6.19
2026-05,W,92.19,B,49.67
2026-06,E,32.75,B,22.65
2026-07,W,14.43, a ,3.97
2026-01,E,56.6,A,24.85
2026-02,W,73.34,B,41.54
2026-03,E,18.0,B,8.65
2026-01,W,54.97, a ,25.67
2026-02,E,45.11, a ,24.39
