when,zone,net_value,class_name,measure
2026-01,W,90.65, a ,47.38
2026-02,E,60.81,A,30.24
2026-03,W,,B,33.45
2026-04,E,82.74,B,42.3
2026-05,W,70.37, a ,33.22
invalid-date,E,26.28,A,10.27
2026-07,W,83.06,B,47.45
2026-01,E,33.29,B,11.85
2026-02,W,57.29, a ,29.27
2026-03,E,183,A,48.3
2026-04,W,62.78,B,37.97
2026-05,E,57.85,B,38.8
2026-06,W,9.68, a ,1.74
2026-07,E,37.83,A,15.97
2026-01,W,66.52,B,34.05
2026-02,E,90.68,B,43.24
2026-03,W,10.33, a ,6.76
2026-04,E,84.74,A,45.8
2026-05,W,82.44,B,45.55
2026-06,E,42.67,B,19.28
2026-07,W,30.54, a ,10.54
2026-01,E,41.86,A,19.38
2026-02,W,42.31,B,17.81
2026-01,W,90.65, a ,47.38
2026-02,E,60.81, a ,30.24
