日期,地区,销售额,客群,观测值
2026-01,S,25.74, a ,18.71
2026-02,N,21.45,B,11.15
2026-03,S,,B,32.81
2026-04,N,21.66, a ,13.53
bad-date,S,75.21,B,42.18
2026-06,N,81.73,B,51.35
2026-01,S,39.25, a ,23.14
2026-02,N,48.51,B,25.49
2026-03,S,185,B,23.88
2026-04,N,89.13, a ,54.92
2026-05,S,64.08,B,37.54
2026-06,N,41.64,B,24.06
2026-01,S,12.33, a ,8.73
2026-02,N,61.77,B,34.72
2026-03,S,62.54,B,39.95
2026-04,N,41.67, a ,23.88
2026-05,S,76.41,B,43.82
2026-06,N,58.94,B,31.42
2026-01,S,63.34, a ,35.39
2026-02,N,85.46,B,48.02
2026-01,S,25.74, a ,18.71
