when,zone,net_value,class_name,measure
2026-01,S,16.11, a ,13.64
2026-02,N,58.07,B,34.58
2026-03,S,,B,24.03
2026-04,N,26.96, a ,16.88
bad-date,S,39.75,B,24.28
2026-06,N,70.75,B,40.68
2026-01,S,40.03, a ,23.83
2026-02,N,24.84,B,18.6
2026-03,S,190,B,35.57
2026-04,N,71.11, a ,45.92
2026-05,S,32.62,B,17.77
2026-06,N,38.01,B,20.83
2026-01,S,23.98, a ,15.99
2026-02,N,39.4,B,22.28
2026-03,S,19.27,B,15.54
2026-04,N,86.81, a ,53.18
2026-05,S,72.32,B,47.18
2026-06,N,15.51,B,12.08
2026-01,S,21.6, a ,16.92
2026-01,S,16.11, a ,13.64
