月份,区域,收入,渠道,指标
2026-01,S,89.45, a ,55.12
2026-02,N,29.1,B,18.89
2026-03,S,,B,51.01
2026-04,N,63.88, a ,38.86
bad-date,S,86.54,B,52.8
2026-06,N,28.29,B,14.26
2026-01,S,83.67, a ,49.16
2026-02,N,12.45,B,9.72
2026-03,S,191,B,42.77
2026-04,N,11.31, a ,7.69
2026-05,S,58.7,B,31.5
2026-06,N,58.27,B,34.17
2026-01,S,39.35, a ,26.28
2026-02,N,24.68,B,16.54
2026-03,S,78.84,B,49.05
2026-04,N,60.37, a ,38.03
2026-05,S,18.07,B,9.92
2026-06,N,11.92,B,9.04
2026-01,S,76.7, a ,44.04
2026-02,N,41.88,B,25.65
2026-01,S,89.45, a ,55.12
