period,region,amount,segment,signal
2026-01,S,26.05, a ,17.68
2026-02,N,87.85,B,52.99
2026-03,S,,B,9.0
2026-04,N,54.04, a ,29.08
bad-date,S,33.31,B,17.48
2026-06,N,39.08,B,19.81
2026-01,S,50.98, a ,31.11
2026-02,N,29.87,B,17.33
2026-03,S,196,B,15.32
2026-04,N,14.98, a ,8.16
2026-05,S,49.3,B,29.83
2026-06,N,32.29,B,20.56
2026-01,S,19.77, a ,14.81
2026-02,N,30.83,B,16.18
2026-03,S,55.02,B,33.74
2026-04,N,84.73, a ,51.17
2026-05,S,12.89,B,7.43
2026-06,N,73.64,B,41.76
2026-01,S,68.29, a ,38.01
2026-01,S,26.05, a ,17.68
